id,run_id,machine_id,timestamp,elapsed_seconds,phase,stress_cpu_target_pct,stress_memory_target_mb,cpu_pct,cpu_per_core_json,cpu_frequency_mhz,ram_pct,ram_used_mb,ram_available_mb,swap_pct,swap_used_mb,disk_usage_pct,disk_free_gb,disk_read_mb_s,disk_write_mb_s,disk_latency_ms,net_sent_mb_s,net_recv_mb_s,network_latency_ms,process_count,thread_count,context_switches_per_s,temperature_c,gpu_usage_pct,gpu_per_device_json,battery_pct,battery_plugged,sensor_errors_json,missed_deadline,legacy_id,sample_reliable,status,ended_at_utc,run_complete,segment_id,slowdown_now,valid_5min_horizon,slowdown_in_5min,valid_10min_horizon,slowdown_in_10min
1,6835f125-a038-4092-beff-5107ae998b39,0890dcc046c079acc4de4202,2026-07-25T14:45:59.803000Z,1.022,monitor,,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3504.0,81.1,5199.9,3251.9,63.0,2705.8,3.1,383.15,,,,,,,350,1474,,,,[],49.0,0,"{""network_latency"": ""TimeoutError: timed out"", ""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,,0,completed,2026-07-25T16:45:58.885Z,1,0890dcc046c079acc4de4202__6835f125-a038-4092-beff-5107ae998b39__seg_001,0,True,0.0,True,0.0
2,6835f125-a038-4092-beff-5107ae998b39,0890dcc046c079acc4de4202,2026-07-25T14:46:00.857000Z,2.076,monitor,,,9.8,"[19.2, 18.6, 15.4, 10.5, 8.5, 3.0, 2.0, 11.1, 7.0, 3.5]",3504.0,81.0,5131.4,3259.5,63.0,2705.8,3.1,383.15,2.4514,0.0143,2.895,0.0128,0.4035,58.193,350,1476,,,,[],49.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,,0,completed,2026-07-25T16:45:58.885Z,1,0890dcc046c079acc4de4202__6835f125-a038-4092-beff-5107ae998b39__seg_001,0,True,0.0,True,0.0
3,6835f125-a038-4092-beff-5107ae998b39,0890dcc046c079acc4de4202,2026-07-25T14:46:02.829000Z,4.048,monitor,,,5.4,"[15.6, 12.6, 10.6, 8.5, 1.0, 0.0, 0.0, 3.0, 1.0, 1.5]",3504.0,80.6,5059.6,3326.2,63.0,2705.8,3.1,383.15,1.5662,1.4535,0.385,0.0092,0.3752,31.052,350,1469,1132.1,,,[],49.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,,0,completed,2026-07-25T16:45:58.885Z,1,0890dcc046c079acc4de4202__6835f125-a038-4092-beff-5107ae998b39__seg_001,0,True,0.0,True,0.0
4,6835f125-a038-4092-beff-5107ae998b39,0890dcc046c079acc4de4202,2026-07-25T14:46:04.845000Z,6.063,monitor,,,4.6,"[17.0, 11.5, 9.0, 6.0, 0.5, 0.0, 0.0, 1.5, 1.0, 0.0]",3504.0,80.6,5053.3,3333.8,63.0,2705.8,3.1,383.15,0.0286,0.0205,0.5,0.0,0.0005,50.083,350,1467,356.2,,,[],49.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,,0,completed,2026-07-25T16:45:58.885Z,1,0890dcc046c079acc4de4202__6835f125-a038-4092-beff-5107ae998b39__seg_001,0,True,0.0,True,0.0
5,6835f125-a038-4092-beff-5107ae998b39,0890dcc046c079acc4de4202,2026-07-25T14:46:06.853000Z,8.071,monitor,,,7.3,"[20.2, 16.6, 10.1, 14.6, 1.0, 0.5, 0.5, 5.0, 3.5, 1.0]",3504.0,81.1,5157.4,3243.7,63.0,2705.8,3.1,383.15,0.6636,0.4588,0.089,0.0005,0.0,50.561,350,1464,,,,[],49.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,,0,completed,2026-07-25T16:45:58.885Z,1,0890dcc046c079acc4de4202__6835f125-a038-4092-beff-5107ae998b39__seg_001,0,True,0.0,True,0.0
6,6835f125-a038-4092-beff-5107ae998b39,0890dcc046c079acc4de4202,2026-07-25T14:46:08.863000Z,10.082,monitor,,,6.7,"[19.1, 19.1, 13.6, 10.6, 1.5, 0.0, 0.0, 2.5, 0.5, 0.0]",3504.0,80.8,5103.7,3299.1,63.0,2705.8,3.1,383.15,1.0724,0.7177,0.091,0.0138,0.3958,66.915,350,1470,,,,[],49.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,,0,completed,2026-07-25T16:45:58.885Z,1,0890dcc046c079acc4de4202__6835f125-a038-4092-beff-5107ae998b39__seg_001,0,True,0.0,True,0.0
7,6835f125-a038-4092-beff-5107ae998b39,0890dcc046c079acc4de4202,2026-07-25T14:46:10.870000Z,12.089,monitor,,,6.7,"[17.2, 16.2, 12.0, 8.5, 1.5, 0.0, 0.0, 6.0, 4.5, 1.5]",3504.0,81.2,5141.8,3235.7,63.0,2705.8,3.1,383.15,0.1636,0.0368,0.308,0.0031,0.0005,71.288,350,1475,1182.8,,,[],49.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,,0,completed,2026-07-25T16:45:58.885Z,1,0890dcc046c079acc4de4202__6835f125-a038-4092-beff-5107ae998b39__seg_001,0,True,0.0,True,0.0
8,6835f125-a038-4092-beff-5107ae998b39,0890dcc046c079acc4de4202,2026-07-25T14:46:12.844000Z,14.063,monitor,,,13.2,"[28.1, 23.5, 21.7, 16.6, 11.5, 1.5, 1.0, 18.2, 7.0, 3.5]",3504.0,81.8,5158.8,3134.1,63.0,2705.8,3.1,383.15,1.7805,1.4752,0.592,0.0056,0.3801,51.912,350,1480,1662.7,,,[],49.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,,0,completed,2026-07-25T16:45:58.885Z,1,0890dcc046c079acc4de4202__6835f125-a038-4092-beff-5107ae998b39__seg_001,0,True,0.0,True,0.0
9,6835f125-a038-4092-beff-5107ae998b39,0890dcc046c079acc4de4202,2026-07-25T14:46:14.851000Z,16.069,monitor,,,15.3,"[25.8, 23.2, 20.1, 16.1, 17.6, 4.0, 3.5, 23.6, 13.6, 6.0]",3504.0,81.3,5118.1,3216.8,62.8,2697.4,3.1,383.15,8.7177,0.088,0.864,0.0026,0.0046,60.672,349,1474,,,,[],49.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,,0,completed,2026-07-25T16:45:58.885Z,1,0890dcc046c079acc4de4202__6835f125-a038-4092-beff-5107ae998b39__seg_001,0,True,0.0,True,0.0
10,6835f125-a038-4092-beff-5107ae998b39,0890dcc046c079acc4de4202,2026-07-25T14:46:16.826000Z,18.045,monitor,,,17.4,"[33.2, 29.8, 27.3, 23.6, 18.1, 2.0, 0.5, 23.1, 11.6, 5.0]",3504.0,81.1,5066.3,3239.3,62.8,2697.4,3.1,383.15,6.2185,0.0779,1.418,0.0067,0.2906,37.916,360,1517,629.2,,,[],49.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,,0,completed,2026-07-25T16:45:58.885Z,1,0890dcc046c079acc4de4202__6835f125-a038-4092-beff-5107ae998b39__seg_001,0,True,0.0,True,0.0
