machine_id,run_id,timestamp,cpu_pct,cpu_frequency_mhz,ram_pct,ram_used_mb,ram_available_mb,swap_pct,swap_used_mb,disk_usage_pct,disk_free_gb,disk_read_mb_s,disk_write_mb_s,disk_latency_ms,net_sent_mb_s,net_recv_mb_s,network_latency_ms,process_count,thread_count,context_switches_per_s,battery_pct,battery_plugged
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:45:46.861000Z,10.7,2803.0,50.7,8621.6,8390.2,7.1,75.7,15.3,402.87,0.0328,0.2108,0.0,0.0019,0.0078,35.278,241,2811,2327.9,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:45:48.875000Z,13.6,2803.0,50.7,8621.4,8390.4,7.1,75.7,15.3,402.87,0.0,0.0184,0.0,0.0002,0.0057,49.763,241,2820,2783.1,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:45:51.378000Z,17.4,2803.0,50.7,8621.6,8390.3,7.1,75.7,15.3,402.87,0.0,0.0143,0.0,0.0001,0.0009,49.863,241,2824,2244.4,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:45:52.912000Z,25.3,2803.0,50.8,8642.2,8369.7,7.1,75.7,15.3,402.87,0.0,0.2498,0.0,0.0001,0.0001,56.284,247,2894,9886.3,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:45:54.910000Z,11.7,2803.0,50.8,8641.8,8370.1,7.1,75.7,15.3,402.87,0.0082,0.1188,0.0,0.0001,0.0011,55.723,247,2894,2433.5,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:45:56.886000Z,11.5,2803.0,50.8,8641.4,8370.4,7.1,75.7,15.3,402.87,0.0,0.0184,0.0,0.0001,0.0009,29.968,247,2896,2233.7,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:45:58.871000Z,11.6,2803.0,50.8,8634.4,8377.4,7.1,75.7,15.3,402.87,0.1392,0.3849,0.0,0.006,0.0069,27.679,245,2884,2925.3,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:46:01.323000Z,18.4,2803.0,50.8,8634.7,8377.1,7.1,75.7,15.3,402.87,0.0,0.0184,0.0,0.0001,0.0017,78.077,245,2886,2964.2,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:46:02.879000Z,16.5,2803.0,50.8,8634.4,8377.4,7.1,75.7,15.3,402.87,0.0,0.3668,0.0,0.0001,0.0009,32.207,245,2885,5665.6,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:46:04.887000Z,12.0,2803.0,50.8,8634.2,8377.6,7.1,75.7,15.3,402.87,0.0,0.0205,0.0,0.0001,0.0001,42.655,245,2886,2330.6,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:46:06.946000Z,12.0,2803.0,50.8,8634.3,8377.6,7.1,75.7,15.3,402.87,0.0,0.0225,0.0,0.0001,0.0012,86.342,245,2886,2052.7,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:46:08.898000Z,11.4,2803.0,50.7,8621.8,8390.0,7.1,75.7,15.3,402.87,0.0,0.0778,0.0,0.0001,0.0013,69.523,241,2839,2895.3,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:46:10.880000Z,12.1,2803.0,50.7,8621.2,8390.6,7.1,75.7,15.3,402.87,0.0328,0.0184,0.0,0.0001,0.0043,46.077,241,2837,2536.5,76.0,1
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,2026-08-09T21:46:13.309000Z,15.9,2803.0,50.7,8621.2,8390.7,7.1,75.7,15.3,402.87,0.0164,0.0614,0.0,0.0001,0.001,76.584,241,2835,2251.8,76.0,1
