column,dtype,missing_count,missing_percentage,unique_count,present_percentage,is_constant,non_finite_count,minimum,maximum,mean,median,example_values,available_machine_id_count,total_machine_id_count,machine_id_availability_percentage,unavailable_machine_ids,available_run_id_count,total_run_id_count,run_id_availability_percentage,unavailable_run_ids,proposed_role,keep_in_dataset,use_as_model_feature_initially,reason
id,int64,0,0.0,31059,100.0,False,0,1.0,31059.0,15530.0,15530.0,,3,3,100.0,[],10,10,100.0,[],metadata,True,False,Identifier/context field retained for traceability; direct use could encourage memorization rather than generalization.
run_id,str,0,0.0,10,100.0,False,,,,,,"[""6835f125-a038-4092-beff-5107ae998b39"", ""89cdc34b-e02b-43b4-9284-144276df508a"", ""19127a70-e60c-4b47-b3e6-71e89175c174""]",3,3,100.0,[],10,10,100.0,[],grouping_time,True,False,"Identifies observation order or run membership; retain for splitting/grouping, but do not use directly as an initial feature."
machine_id,str,0,0.0,3,100.0,False,,,,,,"[""0890dcc046c079acc4de4202"", ""7232bc533c21ce408d45d473"", ""a0f8c86097e55fbfa506d057""]",3,3,100.0,[],10,10,100.0,[],metadata,True,False,Identifier/context field retained for traceability; direct use could encourage memorization rather than generalization.
timestamp,str,0,0.0,31059,100.0,False,,,,,,"[""2026-07-25T14:45:59.803000Z"", ""2026-07-25T14:46:00.857000Z"", ""2026-07-25T14:46:02.829000Z""]",3,3,100.0,[],10,10,100.0,[],grouping_time,True,False,"Identifies observation order or run membership; retain for splitting/grouping, but do not use directly as an initial feature."
elapsed_seconds,float64,0,0.0,30997,100.0,False,0,0.096,17570.052,5803.469453717119,4960.061,,3,3,100.0,[],10,10,100.0,[],grouping_time,True,False,"Identifies observation order or run membership; retain for splitting/grouping, but do not use directly as an initial feature."
phase,str,0,0.0,1,100.0,True,,,,,,"[""monitor""]",3,3,100.0,[],10,10,100.0,[],constant_unusable,False,False,"Has at most one observed value (including an entirely missing column), so it provides no usable variation."
stress_cpu_target_pct,float64,31059,100.0,0,0.0,True,31059,,,,,,0,3,0.0,"[""0890dcc046c079acc4de4202"", ""7232bc533c21ce408d45d473"", ""a0f8c86097e55fbfa506d057""]",0,10,0.0,"[""19127a70-e60c-4b47-b3e6-71e89175c174"", ""2e9f4457-2a7f-4647-87ed-b86ac6343d33"", ""373070d1-ba59-4244-88ab-2d44a21f4983"", ""6835f125-a038-4092-beff-5107ae998b39"", ""70577f8e-1430-4489-8602-2096521ab84e"", ""89cdc34b-e02b-43b4-9284-144276df508a"", ""d88b15dd-1915-43ca-90ef-69f31ff4d9c1"", ""ec61755d-b5be-42ac-875d-3123e92add7a"", ""f24e9c1a-f11e-405c-b663-45fa6e25c405"", ""fac82c2e-545a-402a-80f8-3d1fccb72c68""]",constant_unusable,False,False,"Has at most one observed value (including an entirely missing column), so it provides no usable variation."
stress_memory_target_mb,float64,31059,100.0,0,0.0,True,31059,,,,,,0,3,0.0,"[""0890dcc046c079acc4de4202"", ""7232bc533c21ce408d45d473"", ""a0f8c86097e55fbfa506d057""]",0,10,0.0,"[""19127a70-e60c-4b47-b3e6-71e89175c174"", ""2e9f4457-2a7f-4647-87ed-b86ac6343d33"", ""373070d1-ba59-4244-88ab-2d44a21f4983"", ""6835f125-a038-4092-beff-5107ae998b39"", ""70577f8e-1430-4489-8602-2096521ab84e"", ""89cdc34b-e02b-43b4-9284-144276df508a"", ""d88b15dd-1915-43ca-90ef-69f31ff4d9c1"", ""ec61755d-b5be-42ac-875d-3123e92add7a"", ""f24e9c1a-f11e-405c-b663-45fa6e25c405"", ""fac82c2e-545a-402a-80f8-3d1fccb72c68""]",constant_unusable,False,False,"Has at most one observed value (including an entirely missing column), so it provides no usable variation."
cpu_pct,float64,0,0.0,982,100.0,False,0,0.0,100.0,31.84046170192215,17.8,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
cpu_per_core_json,str,0,0.0,29718,100.0,False,,,,,,"[""[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"", ""[19.2, 18.6, 15.4, 10.5, 8.5, 3.0, 2.0, 11.1, 7.0, 3.5]"", ""[15.6, 12.6, 10.6, 8.5, 1.0, 0.0, 0.0, 3.0, 1.0, 1.5]""]",3,3,100.0,[],10,10,100.0,[],review_needed,True,False,Meaning or representation requires manual review; no feature-use decision is guessed.
