comparison,feature,feature_type,train_mean,difficult_mean,train_median,difficult_median,train_std,difficult_std,train_p10,train_p25,train_p75,train_p90,train_p95,difficult_p10,difficult_p25,difficult_p75,difficult_p90,difficult_p95,train_missing_pct,difficult_missing_pct,missing_pct_difference,standardized_mean_difference,absolute_smd,psi,ks_statistic,shift_metric,true_positive_rows,false_negative_rows,shift_rank
difficult_true_positive_vs_false_negative,cpu_pct_mean_30s,engineered,71.16370854527416,54.22262520273343,72.43958333333333,52.96666666666667,12.924199975835418,10.658270018938254,52.763000000000005,62.81197916666666,79.58392857142857,87.9782857142857,93.28466666666662,39.284000000000006,45.74523809523809,64.08333333333333,67.445,70.11266666666667,0.0,0.0,0.0,-1.4301654856044377,1.4301654856044377,3.888317687733345,0.508153379091869,5.826636552429652,800,947,1
difficult_true_positive_vs_false_negative,ram_pct_max_120s,engineered,91.389375,86.51457233368531,92.2,85.1,4.325562127518663,3.222778157199685,83.8,87.7,93.8,96.6,97.34999999999995,83.6,84.1,88.1,91.7,93.5,0.0,0.0,0.0,-1.278054936464893,1.278054936464893,3.8240232391757685,0.546325237592397,5.6484034132330585,800,947,2
difficult_true_positive_vs_false_negative,ram_pct_min_60s,engineered,87.04275000000001,82.90844772967264,88.3,82.2,5.553498818214053,4.5088956493709285,81.7,82.7,91.3,92.6,94.0,80.5,81.3,83.8,89.16,92.0,0.0,0.0,0.0,-0.8173408331061637,0.8173408331061637,4.093268163321411,0.48996700105596613,5.40057599748354,800,947,3
difficult_true_positive_vs_false_negative,cpu_pct_mean_120s,engineered,68.70252519578217,54.754674893501836,68.12257551669316,53.913953488372094,11.290177042369303,10.342705857272719,53.45436734693878,63.29955837173579,75.7553490990991,83.40277777777779,86.11582894736841,40.90899999999999,45.812732041969326,64.16896551724139,68.0532950819672,68.69410714285713,0.0,0.0,0.0,-1.2882695211360033,1.2882695211360033,3.401444997732906,0.4570419746568109,5.14675649352572,800,947,4
difficult_true_positive_vs_false_negative,cpu_pct_min_30s,engineered,58.21699999999999,42.66399155227033,59.0,39.9,14.035241216131404,11.555353596305824,41.1,46.6,64.7,76.1,83.8,28.4,34.0,53.349999999999994,58.5,60.46999999999999,0.0,0.0,0.0,-1.209857856462791,1.209857856462791,3.456527900309643,0.4422927666314677,5.108678523403902,800,947,5
difficult_true_positive_vs_false_negative,cpu_pct_mean_60s,engineered,70.35493676842674,54.38102478020086,70.86247058823531,52.74230769230769,11.9991810667479,10.430274488860972,53.60458333333334,62.69379032258065,78.12727272727273,85.27300000000001,88.4102894736842,39.84742857142857,46.20725925925926,64.65743534482759,67.61187096774194,69.8992396313364,0.0,0.0,0.0,-1.420897289176465,1.420897289176465,3.1283436364958086,0.49980992608236524,5.0490508517546395,800,947,6
difficult_true_positive_vs_false_negative,ram_pct_min_30s,engineered,87.96600000000002,83.27043294614572,89.15,82.4,5.141423615691961,4.474242955380943,82.19,84.2,92.1,94.0,94.8,80.8,81.8,84.4,90.03999999999999,92.1,0.0,0.0,0.0,-0.9743068489409293,0.9743068489409293,3.3654479132436137,0.5300752375923969,4.86982999977694,800,947,7
difficult_true_positive_vs_false_negative,ram_pct_min_120s,engineered,85.51525000000001,82.34223864836326,86.4,81.8,6.001995282546851,4.753633355475926,80.98,82.2,90.8,92.0,92.1,80.3,80.8,83.1,88.1,92.0,0.0,0.0,0.0,-0.5860843110181178,0.5860843110181178,3.773024336523666,0.44432154171066524,4.803430189252449,800,947,8
difficult_true_positive_vs_false_negative,cpu_pct_min_60s,engineered,53.406125,40.4507919746568,54.3,37.8,12.968500394705796,11.158643958644427,36.9,42.8,60.8,64.7,76.44999999999986,24.8,32.4,50.9,57.6,58.5,0.0,0.0,0.0,-1.0709130064046926,1.0709130064046926,3.2591933491562406,0.42670670538542765,4.756813060946361,800,947,9
difficult_true_positive_vs_false_negative,ram_pct_mean_120s,engineered,88.13062296154105,84.29766507959245,89.77875457875459,83.02372881355932,4.804154785013129,3.3843951005102295,82.49653333333333,83.99886363636364,92.13173076923076,93.27965225563908,94.12146306818184,81.7464705882353,82.40025062656642,85.21325757575758,89.7741935483871,92.60287288135592,0.0,0.0,0.0,-0.9224129523138359,0.9224129523138359,3.1984707479648353,0.5043848996832101,4.625268599961881,800,947,10
difficult_true_positive_vs_false_negative,ram_pct_mean_30s,engineered,89.0978739512224,84.20184358657299,90.15,83.15555555555557,4.643878315693886,4.030750877306581,82.9,85.36607142857144,92.7625,94.869375,95.25393162393162,81.751,82.375,85.36958041958042,90.8275,92.5778095238095,0.0,0.0,0.0,-1.1260069440074287,1.1260069440074287,2.713394310911055,0.5302917106652586,4.369692965583742,800,947,11
difficult_true_positive_vs_false_negative,ram_pct_max_60s,engineered,90.79762500000001,85.94868004223864,91.5,84.4,4.36419116963056,3.284174020332583,83.8,87.1,93.6,96.2,97.3,82.9,83.6,87.5,91.7,93.1,0.0,0.0,0.0,-1.2555133419781748,1.2555133419781748,2.5716113074257025,0.512575237592397,4.339699886996274,800,947,12
difficult_true_positive_vs_false_negative,ram_pct,raw,89.31424999999999,84.10950369588173,90.3,83.3,4.603263459829423,4.441157981237527,82.99,85.6,92.9,95.0,95.50999999999999,81.4,82.3,85.3,91.44,92.5,0.0,0.0,0.0,-1.1507448088262737,1.1507448088262737,2.557725699411921,0.523851636747624,4.232322144985819,800,947,13
difficult_true_positive_vs_false_negative,ram_pct_mean_60s,engineered,88.78017479705917,84.29435361530703,90.01770833333333,83.07666666666665,4.837301683651648,3.566769905327138,82.74,84.84772727272727,92.76357142857142,94.40125,95.14128431372549,81.67333333333333,82.48032258064515,85.23636363636363,90.49,92.54137931034484,0.0,0.0,0.0,-1.0555408802970023,1.0555408802970023,2.6352531433101953,0.5235678458289335,4.2143618694361304,800,947,14
difficult_true_positive_vs_false_negative,ram_pct_max_30s,engineered,90.29549999999999,85.28489968321014,91.1,84.1,4.390549613360977,3.7804289142024827,83.5,86.8,93.3,95.8,96.6,82.4,83.2,86.7,91.5,93.1,0.0,0.0,0.0,-1.2230334844385053,1.2230334844385053,2.4392614118775953,0.5119337381203801,4.1742286344364805,800,947,15
