comparison,feature,feature_type,train_mean,difficult_mean,train_median,difficult_median,train_std,difficult_std,train_p10,train_p25,train_p75,train_p90,train_p95,difficult_p10,difficult_p25,difficult_p75,difficult_p90,difficult_p95,train_missing_pct,difficult_missing_pct,missing_pct_difference,standardized_mean_difference,absolute_smd,psi,ks_statistic,shift_metric,shift_rank
train_negative_vs_difficult_negative,disk_free_gb,raw,295.95820423694704,140.1602975929978,366.44,140.13,108.50230392907557,0.6370571970586559,161.27,178.24,389.72,404.46,408.53,139.56,139.8,140.32,140.57,142.49,0.0,0.0,0.0,-2.030627064514535,2.030627064514535,12.444539386548897,1.0,8.030627064514535,1
train_negative_vs_difficult_negative,disk_usage_pct,raw,32.3618967472833,70.55501094091905,23.0,70.6,28.074869090142965,0.13288200334679162,2.0,3.1,62.6,66.1,66.3,70.5,70.5,70.6,70.7,70.7,0.0,0.0,0.0,1.9238777179174307,1.9238777179174307,11.683763241303438,1.0,7.9238777179174305,2
train_negative_vs_difficult_negative,thread_count_min_120s,engineered,2868.6293403095387,4263.4598103574035,2945.0,4221.0,1199.670764515453,173.0016372277364,1441.0,1561.0,3853.0,4503.0,4674.0,4118.0,4175.0,4283.0,4443.0,4753.0,0.0,0.0,0.0,1.627439694580209,1.627439694580209,9.99485817166632,0.787192542267778,7.414632236847988,3
train_negative_vs_difficult_negative,thread_count_min_60s,engineered,2884.5157696388715,4282.720204230489,2954.0,4240.0,1206.6924156443788,181.08869419866144,1444.0,1568.0,3879.0,4524.0,4703.0,4126.0,4185.0,4305.0,4518.0,4755.0,0.0,0.0,0.0,1.620514613147331,1.620514613147331,9.786304219312775,0.7852208069958259,7.405735420143157,4
train_negative_vs_difficult_negative,thread_count_mean_120s,engineered,2928.6330486895176,4339.160044824766,2993.0166666666664,4278.267857142857,1213.9259625467862,208.27114109733918,1475.25,1607.9631147540986,3933.368382352941,4569.351717171717,4745.940344062153,4159.932655367232,4227.388387978142,4357.456666666667,4604.539339875111,4837.983144654087,0.0,0.0,0.0,1.6195881709549134,1.6195881709549134,9.71121649488137,0.7830121966167736,7.402600367571687,5
train_negative_vs_difficult_negative,thread_count_min_30s,engineered,2898.076232117376,4299.76776075857,2964.0,4250.0,1210.1910992122648,191.17343947823574,1449.0,1582.0,3899.0,4538.0,4717.0,4134.0,4193.0,4326.0,4551.6,4796.5999999999985,0.0,0.0,0.0,1.617935555609779,1.617935555609779,9.76356608328996,0.781976075184515,7.399911630794294,6
train_negative_vs_difficult_negative,thread_count_mean_60s,engineered,2926.4941261184713,4332.655053791063,2989.883333333333,4275.129032258064,1213.5604654088618,204.79518012521783,1472.9354838709678,1606.821505376344,3932.3548387096776,4564.2229032258065,4745.213916256157,4158.967096774193,4221.294623655914,4356.88494623656,4610.3215,4832.105434782608,0.0,0.0,0.0,1.6158126442562137,1.6158126442562137,9.69043978995617,0.7793723491526108,7.395184993408824,7
train_negative_vs_difficult_negative,thread_count_mean_30s,engineered,2925.1716035635222,4329.233624124679,2986.614583333333,4274.133333333333,1213.3034688459784,202.50783126674244,1472.2712500000002,1608.953125,3930.375,4565.396363636363,4745.248214285714,4158.925,4217.466666666666,4354.6625,4606.369230769231,4825.86923076923,0.0,0.0,0.0,1.6142297995948935,1.6142297995948935,9.716710620963443,0.7777800426524107,7.392009842247304,8
train_negative_vs_difficult_negative,thread_count,raw,2923.478742087739,4325.259372720642,2984.0,4273.0,1212.8972676639312,198.63965980959316,1471.0,1614.0,3929.0,4564.0,4747.0,4157.0,4214.0,4351.0,4594.0,4816.299999999999,0.0,0.0,0.0,1.6129598139179802,1.6129598139179802,9.685546104790449,0.7773043922920141,7.390264206209994,9
train_negative_vs_difficult_negative,thread_count_max_60s,engineered,2975.107917749076,4382.710430342815,3026.0,4315.0,1216.560426638727,228.92242663239793,1515.0,1670.0,3985.0,4620.9000000000015,4797.0,4189.0,4253.0,4411.0,4705.0,4910.299999999999,0.0,0.0,0.0,1.6080718613287752,1.6080718613287752,9.517196134552545,0.7801309745153299,7.388202835844105,10
train_negative_vs_difficult_negative,thread_count_max_30s,engineered,2955.3941312063225,4358.835740335521,3005.0,4298.0,1214.1866207668256,215.73527715896995,1503.0,1653.25,3961.0,4591.9000000000015,4777.0,4181.0,4237.0,4384.0,4692.0,4861.0,0.0,0.0,0.0,1.6094392902875445,1.6094392902875445,9.585306357146688,0.7775968573503406,7.387036147637885,11
train_negative_vs_difficult_negative,thread_count_max_120s,engineered,3003.902436793385,4423.739752005835,3061.0,4340.0,1221.8206671226312,251.29611252708494,1540.0,1707.0,4025.0,4648.0,4828.0,4201.0,4279.0,4441.0,4817.0,4994.0,0.0,0.0,0.0,1.609716583708167,1.609716583708167,9.328292006081403,0.7752395178314976,7.3849561015396645,12
train_negative_vs_difficult_negative,ram_used_mb,raw,10128.034374885661,14395.972487235595,8772.05,14301.2,3694.357714227214,671.0396607972343,5663.52,6934.2,14195.6,14951.0,15345.695,13631.72,14023.6,14804.95,15287.020000000002,15750.19,0.0,0.0,0.0,1.6074798221263946,1.6074798221263946,7.527810981519366,0.6355280395527173,7.2430078616791125,13
train_negative_vs_difficult_negative,swap_used_mb,raw,2331.694074494164,4864.037126185266,1511.4,4697.6,2969.2979596807704,561.7154259179979,0.0,88.7,3737.3,5210.0,10888.1,4203.6,4408.65,5296.8,5610.2,5827.7,0.0,0.0,0.0,1.185082352653607,1.185082352653607,9.298047401775568,0.7931296317898301,6.978211984443437,14
