split,machine_id,total_rows,positive_rows,negative_rows,positive_rate,number_of_runs
train,0890dcc046c079acc4de4202,22475,3408,19067,15.1635,6
train,7232bc533c21ce408d45d473,10981,4397,6584,40.0419,8
train,a0f8c86097e55fbfa506d057,41717,18274,23443,43.8047,11
train,d588df123ac0d0ce20b112ac,7687,2119,5568,27.566,14
validation,0890dcc046c079acc4de4202,3024,0,3024,0.0,1
validation,7232bc533c21ce408d45d473,2304,884,1420,38.3681,3
validation,a0f8c86097e55fbfa506d057,8607,1752,6855,20.3555,2
validation,d588df123ac0d0ce20b112ac,8277,8277,0,100.0,1
test,0890dcc046c079acc4de4202,8359,319,8040,3.8162,3
test,7232bc533c21ce408d45d473,4206,1400,2806,33.2858,3
test,a0f8c86097e55fbfa506d057,12986,7302,5684,56.2298,2
test,d588df123ac0d0ce20b112ac,2393,2335,58,97.5763,1
