split,machine_id,run_id,start_timestamp,end_timestamp,total_rows,positive_rows,negative_rows,positive_rate
test,0890dcc046c079acc4de4202,6835f125-a038-4092-beff-5107ae998b39,2026-07-25T14:45:59.803000+00:00,2026-07-25T16:40:54.978000+00:00,3449,344,3105,9.9739
test,7232bc533c21ce408d45d473,19127a70-e60c-4b47-b3e6-71e89175c174,2026-07-29T13:35:20.985000+00:00,2026-07-29T13:40:23.654000+00:00,119,105,14,88.2353
test,a0f8c86097e55fbfa506d057,70577f8e-1430-4489-8602-2096521ab84e,2026-07-28T17:22:42.771000+00:00,2026-07-28T21:12:01.059000+00:00,5603,1402,4201,25.0223
train,0890dcc046c079acc4de4202,89cdc34b-e02b-43b4-9284-144276df508a,2026-07-23T15:00:46.964000+00:00,2026-07-23T19:58:08.855000+00:00,8484,256,8228,3.0174
train,7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,2026-07-28T10:40:53.862000+00:00,2026-07-28T13:05:14.375000+00:00,1165,311,854,26.6953
train,7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,2026-07-28T15:15:18.443000+00:00,2026-07-28T17:44:18.127000+00:00,1302,62,1240,4.7619
train,a0f8c86097e55fbfa506d057,2e9f4457-2a7f-4647-87ed-b86ac6343d33,2026-07-27T12:17:19.031000+00:00,2026-07-27T12:29:16.187000+00:00,182,0,182,0.0
train,a0f8c86097e55fbfa506d057,f24e9c1a-f11e-405c-b663-45fa6e25c405,2026-07-27T13:16:45.456000+00:00,2026-07-27T15:27:24.379000+00:00,3860,453,3407,11.7358
validation,7232bc533c21ce408d45d473,fac82c2e-545a-402a-80f8-3d1fccb72c68,2026-07-29T07:39:50.103000+00:00,2026-07-29T09:35:10.620000+00:00,1611,710,901,44.072
validation,a0f8c86097e55fbfa506d057,373070d1-ba59-4244-88ab-2d44a21f4983,2026-07-27T22:57:32.661000+00:00,2026-07-27T23:06:14.948000+00:00,261,0,261,0.0
