machine_id,run_id,total_rows,slowdown_now_positive_rows,valid_5min_rows,invalid_5min_rows,positive_5min_rows,negative_5min_rows,positive_5min_percentage,valid_10min_rows,invalid_10min_rows,positive_10min_rows,negative_10min_rows,positive_10min_percentage
0890dcc046c079acc4de4202,6835f125-a038-4092-beff-5107ae998b39,3600,9,3449,151,344,3105,9.9739,3299,301,644,2655,19.5211
0890dcc046c079acc4de4202,89cdc34b-e02b-43b4-9284-144276df508a,8786,105,8484,302,256,8228,3.0174,8185,601,407,7778,4.9725
7232bc533c21ce408d45d473,19127a70-e60c-4b47-b3e6-71e89175c174,211,45,119,92,105,14,88.2353,3,208,3,0,100.0
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,2548,303,1165,1383,311,854,26.6953,329,2219,117,212,35.5623
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,2642,115,1302,1340,62,1240,4.7619,694,1948,17,677,2.4496
7232bc533c21ce408d45d473,fac82c2e-545a-402a-80f8-3d1fccb72c68,2578,503,1611,967,710,901,44.072,1152,1426,736,416,63.8889
a0f8c86097e55fbfa506d057,2e9f4457-2a7f-4647-87ed-b86ac6343d33,377,0,182,195,0,182,0.0,107,270,0,107,0.0
a0f8c86097e55fbfa506d057,373070d1-ba59-4244-88ab-2d44a21f4983,422,2,261,161,0,261,0.0,111,311,0,111,0.0
a0f8c86097e55fbfa506d057,70577f8e-1430-4489-8602-2096521ab84e,5895,743,5603,292,1402,4201,25.0223,5387,508,1586,3801,29.4412
a0f8c86097e55fbfa506d057,f24e9c1a-f11e-405c-b663-45fa6e25c405,4000,106,3860,140,453,3407,11.7358,3713,287,749,2964,20.1724
