machine_id,run_id,total_rows,rule_a_two_moderate_groups_positive_rows,rule_a_two_moderate_groups_positive_percentage,rule_b_cpu_and_ram_positive_rows,rule_b_cpu_and_ram_positive_percentage,rule_c_severe_or_two_moderate_positive_rows,rule_c_severe_or_two_moderate_positive_percentage
0890dcc046c079acc4de4202,6835f125-a038-4092-beff-5107ae998b39,3600,9,0.25,0,0.0,9,0.25
0890dcc046c079acc4de4202,89cdc34b-e02b-43b4-9284-144276df508a,8786,34,0.387,0,0.0,105,1.1951
7232bc533c21ce408d45d473,19127a70-e60c-4b47-b3e6-71e89175c174,211,0,0.0,0,0.0,45,21.327
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,2548,60,2.3548,0,0.0,303,11.8917
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,2642,33,1.2491,0,0.0,115,4.3528
7232bc533c21ce408d45d473,fac82c2e-545a-402a-80f8-3d1fccb72c68,2578,51,1.9783,0,0.0,503,19.5112
a0f8c86097e55fbfa506d057,2e9f4457-2a7f-4647-87ed-b86ac6343d33,377,0,0.0,0,0.0,0,0.0
a0f8c86097e55fbfa506d057,373070d1-ba59-4244-88ab-2d44a21f4983,422,0,0.0,0,0.0,2,0.4739
a0f8c86097e55fbfa506d057,70577f8e-1430-4489-8602-2096521ab84e,5895,648,10.9924,601,10.1951,743,12.6039
a0f8c86097e55fbfa506d057,f24e9c1a-f11e-405c-b663-45fa6e25c405,4000,81,2.025,0,0.0,106,2.65
