feature_name,training_data_type,training_missing_count,training_missing_percentage,training_unique_count,training_infinite_count,retained_or_removed,reason,median_learned_from_train,missing_indicator_created,high_training_missingness_20pct
machine_id,str,0,0.0,3,,removed,excluded_identifier_target_metadata_or_leakage,,False,False
run_id,str,0,0.0,5,,removed,excluded_identifier_target_metadata_or_leakage,,False,False
segment_id,str,0,0.0,21,,removed,excluded_identifier_target_metadata_or_leakage,,False,False
timestamp,str,0,0.0,14993,,removed,excluded_identifier_target_metadata_or_leakage,,False,False
cpu_pct,float64,0,0.0,892,0.0,retained,retained_numeric_training_feature,13.5,False,False
cpu_frequency_mhz,float64,0,0.0,4,0.0,retained,retained_numeric_training_feature,3504.0,False,False
ram_pct,float64,0,0.0,362,0.0,retained,retained_numeric_training_feature,76.1,False,False
ram_used_mb,float64,0,0.0,12034,0.0,retained,retained_numeric_training_feature,6283.9,False,False
ram_available_mb,float64,0,0.0,11444,0.0,retained,retained_numeric_training_feature,4108.6,False,False
swap_pct,float64,0,0.0,64,0.0,retained,retained_numeric_training_feature,46.4,False,False
swap_used_mb,float64,0,0.0,524,0.0,retained,retained_numeric_training_feature,1519.8,False,False
disk_usage_pct,float64,0,0.0,12,0.0,retained,retained_numeric_training_feature,3.1,False,False
disk_free_gb,float64,0,0.0,369,0.0,retained,retained_numeric_training_feature,388.95,False,False
disk_read_mb_s,float64,4,0.0267,6493,0.0,retained,retained_numeric_training_feature,0.1741,True,False
disk_write_mb_s,float64,4,0.0267,6260,0.0,retained,retained_numeric_training_feature,0.213,True,False
disk_latency_ms,float64,4,0.0267,968,0.0,retained,retained_numeric_training_feature,0.105,True,False
net_sent_mb_s,float64,4,0.0267,498,0.0,retained,retained_numeric_training_feature,0.001,True,False
net_recv_mb_s,float64,4,0.0267,2134,0.0,retained,retained_numeric_training_feature,0.0012,True,False
network_latency_ms,float64,737,4.9156,12773,0.0,retained,retained_numeric_training_feature,55.6135,True,False
process_count,int64,0,0.0,278,0.0,retained,retained_numeric_training_feature,371.0,False,False
thread_count,int64,0,0.0,1517,0.0,retained,retained_numeric_training_feature,1762.0,False,False
context_switches_per_s,float64,5146,34.3227,9131,0.0,retained,retained_numeric_training_feature,6863.4,True,True
battery_pct,float64,0,0.0,65,0.0,retained,retained_numeric_training_feature,53.0,False,False
battery_plugged,int64,0,0.0,2,0.0,retained,retained_numeric_training_feature,0.0,False,False
cpu_pct_mean_30s,float64,0,0.0,9611,0.0,retained,retained_numeric_training_feature,14.10625,False,False
cpu_pct_max_30s,float64,0,0.0,719,0.0,retained,retained_numeric_training_feature,28.2,False,False
cpu_pct_min_30s,float64,0,0.0,482,0.0,retained,retained_numeric_training_feature,7.7,False,False
cpu_pct_std_30s,float64,21,0.1401,14784,0.0,retained,retained_numeric_training_feature,4.062793558425106,True,False
cpu_pct_change_30s,float64,0,0.0,2393,0.0,retained,retained_numeric_training_feature,-0.0999999999999996,False,False
cpu_pct_missing_pct_30s,float64,0,0.0,1,0.0,removed,removed_constant_in_training,,False,False
cpu_pct_mean_60s,float64,0,0.0,11579,0.0,retained,retained_numeric_training_feature,13.96,False,False
cpu_pct_max_60s,float64,0,0.0,596,0.0,retained,retained_numeric_training_feature,31.9,False,False
