candidate_rules,machine_id,rows,positive_rate,threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,very_low_recall_warning
E_minimum_fn_recall_ge_0_90,7232bc533c21ce408d45d473,2190,0.38310502283105025,0.02,0.3955681282413956,1.0,0.5668918918918919,69,1282,0,839,0.9684931506849315,0.9489267209474463,0.0,0.05107327905255366,0.5255366395262768,False
E_minimum_fn_recall_ge_0_90,a0f8c86097e55fbfa506d057,3753,0.8499866773248068,0.02,0.8499866773248068,1.0,0.9189111335157713,0,563,0,3190,1.0,1.0,0.0,0.0,0.5,False
E_minimum_fn_recall_ge_0_90,d588df123ac0d0ce20b112ac,697,0.42898134863701576,0.02,0.8142076502732241,0.9966555183946488,0.8962406015037594,330,68,1,298,0.5251076040172167,0.1708542713567839,0.0033444816053511705,0.8291457286432161,0.9129006235189325,False
A_maximum_f1;recommended_run_aware,7232bc533c21ce408d45d473,2190,0.38310502283105025,0.49,0.8067010309278351,0.7461263408820024,0.7752321981424148,1201,150,213,626,0.354337899543379,0.11102886750555144,0.25387365911799764,0.8889711324944486,0.8175487366882255,False
A_maximum_f1;recommended_run_aware,a0f8c86097e55fbfa506d057,3753,0.8499866773248068,0.49,0.9887253366739743,0.9896551724137931,0.9891900360332132,527,36,33,3157,0.8507860378363975,0.06394316163410302,0.010344827586206896,0.9360568383658969,0.962856005389845,False
A_maximum_f1;recommended_run_aware,d588df123ac0d0ce20b112ac,697,0.42898134863701576,0.49,1.0,0.9899665551839465,0.9949579831932773,398,0,3,296,0.4246771879483501,0.0,0.010033444816053512,1.0,0.9949832775919732,False
D_closest_to_0_50_recall_ge_0_90,7232bc533c21ce408d45d473,2190,0.38310502283105025,0.5,0.8167330677290837,0.733015494636472,0.7726130653266332,1213,138,224,615,0.34383561643835614,0.10214655810510732,0.266984505363528,0.8978534418948927,0.8154344682656823,False
D_closest_to_0_50_recall_ge_0_90,a0f8c86097e55fbfa506d057,3753,0.8499866773248068,0.5,0.9887218045112782,0.9893416927899686,0.9890316515198997,527,36,34,3156,0.8505195843325339,0.06394316163410302,0.010658307210031349,0.9360568383658969,0.9626992655779327,False
D_closest_to_0_50_recall_ge_0_90,d588df123ac0d0ce20b112ac,697,0.42898134863701576,0.5,1.0,0.9899665551839465,0.9949579831932773,398,0,3,296,0.4246771879483501,0.0,0.010033444816053512,1.0,0.9949832775919732,False
B_max_precision_recall_ge_0_90;C_minimum_fp_recall_ge_0_90,7232bc533c21ce408d45d473,2190,0.38310502283105025,0.63,0.9065934065934066,0.5899880810488677,0.7148014440433214,1300,51,344,495,0.2493150684931507,0.03774981495188749,0.4100119189511323,0.9622501850481125,0.7761191330484901,True
B_max_precision_recall_ge_0_90;C_minimum_fp_recall_ge_0_90,a0f8c86097e55fbfa506d057,3753,0.8499866773248068,0.63,0.9936204146730463,0.9764890282131662,0.9849802371541502,543,20,75,3115,0.8353317346123101,0.035523978685612786,0.023510971786833857,0.9644760213143873,0.9704825247637767,False
B_max_precision_recall_ge_0_90;C_minimum_fp_recall_ge_0_90,d588df123ac0d0ce20b112ac,697,0.42898134863701576,0.63,1.0,0.9866220735785953,0.9932659932659933,398,0,4,295,0.4232424677187948,0.0,0.013377926421404682,1.0,0.9933110367892977,False
