threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,selected_candidate_rules
0.01,0.3868142000922084,1.0,0.557845744680851,21,1330,0,839,0.9904109589041096,0.9844559585492227,0.0,0.015544041450777202,0.5077720207253886,
0.02,0.3955681282413956,1.0,0.5668918918918919,69,1282,0,839,0.9684931506849315,0.9489267209474463,0.0,0.05107327905255366,0.5255366395262768,E_minimum_fn_recall_ge_0_90
0.03,0.40191846522781777,0.99880810488677,0.573187414500684,104,1247,1,838,0.952054794520548,0.923019985196151,0.0011918951132300357,0.076980014803849,0.5378940598453095,
0.04,0.40749756572541385,0.9976162097735399,0.5786380919460767,134,1217,2,837,0.9378995433789954,0.9008142116950407,0.0023837902264600714,0.09918578830495929,0.5484009990392497,
0.05,0.41112752338749387,0.9952324195470799,0.5818815331010453,155,1196,4,835,0.9273972602739726,0.8852701702442635,0.004767580452920143,0.11472982975573649,0.5549811246514081,
0.06,0.4107760751359367,0.9904648390941597,0.5807127882599581,159,1192,8,831,0.9237442922374429,0.8823094004441154,0.009535160905840286,0.11769059955588453,0.5540777193250221,
0.07,0.4127299850820487,0.9892729439809297,0.5824561403508772,170,1181,9,830,0.9182648401826484,0.8741672834937083,0.010727056019070322,0.12583271650629163,0.5575528302436107,
0.08,0.42166836215666326,0.9880810488676997,0.5910873440285205,214,1137,10,829,0.897716894977169,0.84159881569208,0.011918951132300357,0.15840118430792005,0.5732411165878099,
0.09,0.422462648119526,0.9773539928486293,0.5899280575539568,230,1121,19,820,0.8863013698630137,0.8297557364914878,0.02264600715137068,0.1702442635085122,0.5737991281785708,
0.1,0.4260230849947534,0.9678188319427891,0.5916211293260474,257,1094,27,812,0.8703196347031964,0.8097705403404886,0.03218116805721097,0.19022945965951146,0.5790241458011502,
0.11,0.42412868632707773,0.9427890345649583,0.5850591715976331,277,1074,48,791,0.8515981735159818,0.7949666913397483,0.057210965435041714,0.20503330866025166,0.573911171612605,
0.12,0.42337375964718854,0.9153754469606674,0.5789672069355447,305,1046,71,768,0.828310502283105,0.7742413027387121,0.08462455303933254,0.22575869726128794,0.5705670721109777,
0.13,0.4264129826524902,0.9082240762812872,0.5803503427265804,326,1025,77,762,0.8159817351598173,0.7586972612879349,0.09177592371871275,0.24130273871206515,0.5747634074966762,
0.14,0.432,0.901072705601907,0.5840092699884125,357,994,83,756,0.7990867579908676,0.7357512953367875,0.09892729439809297,0.26424870466321243,0.5826607051325597,
