id,run_id,machine_id,timestamp,elapsed_seconds,phase,stress_cpu_target_pct,stress_memory_target_mb,cpu_pct,cpu_per_core_json,cpu_frequency_mhz,ram_pct,ram_used_mb,ram_available_mb,swap_pct,swap_used_mb,disk_usage_pct,disk_free_gb,disk_read_mb_s,disk_write_mb_s,disk_latency_ms,net_sent_mb_s,net_recv_mb_s,network_latency_ms,process_count,thread_count,context_switches_per_s,temperature_c,gpu_usage_pct,gpu_per_device_json,battery_pct,battery_plugged,sensor_errors_json,missed_deadline,legacy_id
1,1d7f1d6b-e3dd-4d98-8e9c-208d90f9ab66,7fd03b1611fadce3c768a2e3,2026-07-31T16:30:22.442Z,0.07,baseline,,,0.0,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 100.0, 0.0]",3504.0,77.9,5465.6,3792.1,0.0,0.0,3.1,387.25,,,,,,63.659,383,1717,,,,[],98.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,
2,1d7f1d6b-e3dd-4d98-8e9c-208d90f9ab66,7fd03b1611fadce3c768a2e3,2026-07-31T16:30:24.461Z,2.088,baseline,,,21.0,"[38.4, 33.8, 31.3, 26.0, 36.8, 10.0, 6.0, 15.9, 9.5, 3.5]",3504.0,78.2,5538.7,3743.5,0.0,0.0,3.1,387.25,8.3898,0.0225,0.607,0.0071,0.047,67.761,383,1731,,,,[],98.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,
3,1d7f1d6b-e3dd-4d98-8e9c-208d90f9ab66,7fd03b1611fadce3c768a2e3,2026-07-31T16:30:26.427Z,4.058,baseline,,,10.6,"[16.6, 13.6, 12.5, 8.5, 36.7, 8.0, 2.0, 7.0, 1.0, 0.0]",3504.0,77.9,5540.3,3789.2,0.0,0.0,3.1,387.25,0.1024,0.2068,0.22,0.0,0.0005,36.629,383,1723,,,,[],98.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,
4,1d7f1d6b-e3dd-4d98-8e9c-208d90f9ab66,7fd03b1611fadce3c768a2e3,2026-07-31T16:30:28.440Z,6.076,baseline,,,35.1,"[33.7, 32.3, 26.9, 23.2, 60.8, 47.7, 43.7, 38.9, 25.3, 18.6]",3504.0,77.6,5907.8,3841.5,0.0,0.0,3.1,387.25,1.5395,8.5865,0.117,0.0539,1.4882,66.743,383,1770,,,,[],98.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,
5,1d7f1d6b-e3dd-4d98-8e9c-208d90f9ab66,7fd03b1611fadce3c768a2e3,2026-07-31T16:30:30.420Z,8.06,baseline,,,32.1,"[31.5, 30.0, 23.5, 17.6, 47.2, 32.7, 25.6, 57.5, 33.3, 21.9]",3504.0,78.2,5910.9,3740.0,0.0,0.0,3.1,387.25,4.4035,0.2411,1.863,0.0358,0.3448,42.665,383,1774,,,,[],98.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,
6,1d7f1d6b-e3dd-4d98-8e9c-208d90f9ab66,7fd03b1611fadce3c768a2e3,2026-07-31T16:30:32.448Z,10.092,baseline,,,14.5,"[20.8, 20.2, 12.7, 10.1, 16.6, 1.0, 0.5, 30.3, 22.6, 10.6]",3504.0,76.9,5681.5,3976.4,0.0,0.0,3.1,387.25,1.63,1.4514,0.297,0.0298,1.1404,79.308,383,1764,,,,[],98.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,
7,1d7f1d6b-e3dd-4d98-8e9c-208d90f9ab66,7fd03b1611fadce3c768a2e3,2026-07-31T16:30:34.411Z,12.058,baseline,,,16.1,"[29.5, 24.7, 25.5, 19.1, 7.0, 1.0, 0.5, 37.0, 13.6, 3.0]",3504.0,77.4,5793.2,3887.6,0.0,0.0,3.1,387.25,0.4219,0.0184,0.188,0.0015,0.001,44.274,383,1735,,,,[],98.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,
8,1d7f1d6b-e3dd-4d98-8e9c-208d90f9ab66,7fd03b1611fadce3c768a2e3,2026-07-31T16:30:36.403Z,14.053,baseline,,,23.6,"[32.8, 31.2, 28.0, 24.5, 19.9, 12.6, 9.0, 39.7, 23.1, 15.1]",3504.0,78.0,5602.4,3773.0,0.0,0.0,3.1,387.24,13.8897,2.7689,0.348,0.001,0.001,41.593,384,1772,559.5,,,[],98.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,
9,1d7f1d6b-e3dd-4d98-8e9c-208d90f9ab66,7fd03b1611fadce3c768a2e3,2026-07-31T16:30:38.378Z,16.031,baseline,,,20.1,"[32.8, 31.2, 25.4, 22.2, 15.1, 5.5, 3.0, 33.2, 20.6, 12.1]",3504.0,79.1,5459.8,3598.9,0.0,0.0,3.1,387.25,1.3023,8.6165,0.104,0.0307,0.7924,20.061,384,1811,,,,[],98.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,
10,1d7f1d6b-e3dd-4d98-8e9c-208d90f9ab66,7fd03b1611fadce3c768a2e3,2026-07-31T16:30:40.383Z,18.039,baseline,,,21.9,"[31.7, 30.3, 25.0, 18.6, 24.5, 4.0, 2.0, 38.2, 30.0, 15.0]",3504.0,79.3,5518.8,3556.2,0.0,0.0,3.1,387.25,0.4649,0.1495,0.25,0.0195,0.065,24.106,384,1803,79.5,,,[],98.0,0,"{""temperature"": ""macmon_not_installed (install with: brew install macmon)""}",0,
